N	Z	A	EL	BE	BEd	MASS	MASSd
93	64	157	Gd	8203.504	0.008	156923967.870	1.276
92	65	157	Tb	8198.138	0.008	156924032.328	1.311
91	66	157	Dy	8184.627	0.033	156925469.667	5.557
90	67	157	Ho	8163.136	0.149	156928251.999	25.195
89	68	157	Er	8136.375	0.169	156931922.655	28.454
88	69	157	Tm	8101.428	0.178	156936973.000	30.000
87	70	157	Yb	8062.767	0.070	156942649.230	11.723
86	71	157	Lu	8013.317	0.077	156950144.045	12.965
85	72	157	Hf	7960#	1#	156958236#	210#
84	73	157	Ta	7896.043	0.956	156968230.251	161.105
83	74	157	W	7827#	3#	156979098#	429#
100	58	158	Ce	8016#	3#	157960644#	429#
99	59	158	Pr	8060#	2#	157952410#	322#
98	60	158	Nd	8116#	1#	157941970#	215#
97	61	158	Pm	8143.254	0.085	157936565.121	14.442
96	62	158	Sm	8177.297	0.031	157929950.979	5.251
95	63	158	Eu	8185.035	0.065	157927798.581	11.008
94	64	158	Gd	8201.819	0.008	157924111.646	1.276
93	65	158	Tb	8189.153	0.009	157925420.166	1.503
92	66	158	Dy	8190.130	0.015	157924414.597	2.538
91	67	158	Ho	8158.471	0.172	157928944.692	29.101
90	68	158	Er	8147.926	0.160	157929893.474	27.074
89	69	158	Tm	8101.199	0.160	157936979.525	27.074
88	70	158	Yb	8079.203	0.051	157939870.534	8.582
87	71	158	Lu	8018.568	0.096	157949315.626	16.237
86	72	158	Hf	7981.276	0.111	157954801.222	18.780
85	73	158	Ta	7907#	1#	157966541#	210#
84	74	158	W	7854#	2#	157974629#	322#
100	59	159	Pr	8039#	3#	158955890#	429#
99	60	159	Nd	8089#	2#	158946530#	322#
98	61	159	Pm	8126.859	0.063	158939286.479	10.777
97	62	159	Sm	8157.495	0.037	158933217.202	6.369
96	63	159	Eu	8176.697	0.027	158929099.612	4.643
95	64	159	Gd	8187.614	0.007	158926396.267	1.279
94	65	159	Tb	8188.800	0.008	158925353.933	1.348
93	66	159	Dy	8181.583	0.010	158925746.023	1.640
92	67	159	Ho	8165.105	0.019	158927718.768	3.314
91	68	159	Er	8142.773	0.023	158930690.875	3.949
90	69	159	Tm	8112.754	0.176	158934975.000	30.000
89	70	159	Yb	8078.074	0.112	158940054.787	19.102
88	71	159	Lu	8034.600	0.237	158946635.615	40.433
87	72	159	Hf	7986.560	0.106	158953995.838	18.049
86	73	159	Ta	7928.725	0.124	158963028.052	21.137
85	74	159	W	7866#	2#	158972845#	320#
84	75	159	Re	7795#	2#	158984171#	327#
101	59	160	Pr	8011#	2#	159960794#	429#
100	60	160	Nd	8073#	2#	159949400#	322#
99	61	160	Pm	8104#	1#	159943100#	215#
98	62	160	Sm	8144.625	0.037	159935335.286	6.370
97	63	160	Eu	8160.021	0.059	159931850.916	10.199
96	64	160	Gd	8183.014	0.008	159927061.537	1.371
95	65	160	Tb	8177.465	0.008	159927174.778	1.354
94	66	160	Dy	8184.054	0.005	159925203.244	0.828
93	67	160	Ho	8158.602	0.094	159928735.204	16.124
92	68	160	Er	8151.721	0.152	159929077.130	26.037
91	69	160	Tm	8110.818	0.214	159935263.106	36.781
90	70	160	Yb	8092.557	0.045	159937559.763	7.764
89	71	160	Lu	8038.338	0.355	159946033.000	61.000
88	72	160	Hf	8006.380	0.060	159950682.513	10.242
87	73	160	Ta	7938.270	0.339	159961541.679	58.310
86	74	160	W	7892.772	0.936	159968516.753	160.846
85	75	160	Re	7809#	2#	159982030#	320#
101	60	161	Nd	8044#	2#	160954280#	429#
100	61	161	Pm	8087#	2#	160946070#	320#
99	62	161	Sm	8122.041	0.042	160939160.143	7.318
98	63	161	Eu	8148.980	0.065	160933664.066	11.164
97	64	161	Gd	8167.191	0.010	160929676.602	1.741
96	65	161	Tb	8174.479	0.008	160927577.001	1.449
95	66	161	Dy	8173.310	0.005	160926939.088	0.824
94	67	161	Ho	8163.119	0.014	160927860.759	2.406
93	68	161	Er	8145.864	0.055	160930003.191	9.425
92	69	161	Tm	8120.490	0.174	160933549.000	30.000
91	70	161	Yb	8090.417	0.095	160937906.846	16.483
90	71	161	Lu	8052.781	0.174	160943572.000	30.000
89	72	161	Hf	8009.117	0.140	160950279.151	24.209
88	73	161	Ta	7957.452	0.151	160958369.031	26.175
87	74	161	W	7902#	1#	160967197#	210#
86	75	161	Re	7836.312	0.931	160977627.121	160.948
85	76	161	Os	7764#	2#	160989287#	429#
102	60	162	Nd	8026#	2#	161957541#	429#
101	61	162	Pm	8063#	2#	161950220#	322#
100	62	162	Sm	8109#	1#	161941460#	210#
99	63	162	Eu	8129.438	0.217	161936979.303	37.819
98	64	162	Gd	8159.035	0.025	161930992.146	4.303
97	65	162	Tb	8162.820	0.225	161929493.955	39.046
96	66	162	Dy	8173.457	0.005	161926804.168	0.822
95	67	162	Ho	8155.418	0.020	161929101.485	3.398
94	68	162	Er	8152.397	0.005	161928786.960	0.882
93	69	162	Tm	8117.588	0.161	161934000.872	27.977
92	70	162	Yb	8102.565	0.095	161935773.771	16.488
91	71	162	Lu	8054.559	0.463	161943282.776	80.554
90	72	162	Hf	8027.120	0.055	161947214.896	9.627
89	73	162	Ta	7964.335	0.322	161957294.202	56.079
88	74	162	W	7923.821	0.109	161963500.347	18.956
87	75	162	Re	7848#	1#	161975844#	210#
86	76	162	Os	7793#	2#	161984498#	322#
102	61	163	Pm	8044#	2#	162953570#	429#
101	62	163	Sm	8085#	2#	162945550#	320#
100	63	163	Eu	8115.471	0.402	162939360.977	70.364
99	64	163	Gd	8140.297	0.052	162934176.832	9.045
98	65	163	Tb	8155.633	0.025	162930653.261	4.372
97	66	163	Dy	8161.785	0.005	162928736.879	0.821
96	67	163	Ho	8156.968	0.005	162928739.921	0.821
95	68	163	Er	8144.741	0.028	162930039.567	4.980
94	69	163	Tm	8124.979	0.034	162932657.941	5.930
93	70	163	Yb	8099.138	0.094	162936339.800	16.493
92	71	163	Lu	8066.684	0.171	162941179.000	30.000
91	72	163	Hf	8027.972	0.152	162947113.258	26.599
90	73	163	Ta	7981.890	0.234	162954337.195	40.860
89	74	163	W	7930.302	0.324	162962524.511	56.630
88	75	163	Re	7870.865	0.114	162972085.441	19.897
87	76	163	Os	7806#	2#	162982617#	320#
103	61	164	Pm	8017#	2#	163958271#	429#
102	62	164	Sm	8069#	2#	163948360#	320#
101	63	164	Eu	8096#	1#	163942693#	122#
100	64	164	Gd	8130#	1#	163935830#	110#
99	65	164	Tb	8139.765	0.610	163933356.559	107.357
98	66	164	Dy	8158.714	0.005	163929180.472	0.823
97	67	164	Ho	8147.929	0.009	163930239.483	1.639
96	68	164	Er	8149.020	0.005	163929207.392	0.832
95	69	164	Tm	8119.623	0.149	163933543.281	26.188
94	70	164	Yb	8109.446	0.094	163934495.103	16.499
93	71	164	Lu	8065.804	0.170	163941339.000	30.000
92	72	164	Hf	8043.814	0.096	163944370.544	16.983
91	73	164	Ta	7986.997	0.170	163953534.000	30.000
90	74	164	W	7951.452	0.059	163958952.222	10.385
89	75	164	Re	7881.052	0.333	163970507.124	58.566
88	76	164	Os	7833.291	0.914	163978075.966	160.945
87	77	164	Ir	7749#	2#	163992116#	338#
103	62	165	Sm	8043#	2#	164952970#	430#
102	63	165	Eu	8080#	1#	164945546#	148#
101	64	165	Gd	8110#	1#	164939395#	130#
100	65	165	Tb	8130#	1#	164934980#	110#
99	66	165	Dy	8143.909	0.005	164931709.054	0.825
98	67	165	Ho	8146.964	0.006	164930328.047	1.084
97	68	165	Er	8139.936	0.006	164930733.198	1.034
96	69	165	Tm	8125.546	0.010	164932442.269	1.793
95	70	165	Yb	8104.839	0.161	164935270.241	28.490
94	71	165	Lu	8076.745	0.161	164939406.758	28.490
93	72	165	Hf	8042.872	0.169	164944567.000	30.000
92	73	165	Ta	8003.054	0.084	164950780.303	14.882
91	74	165	W	7955.968	0.151	164958280.974	26.813
90	75	165	Re	7901.522	0.143	164967085.375	25.329
89	76	165	Os	7843#	1#	164976602#	210#
88	77	165	Ir	7776#	1#	164987555#	170#
104	62	166	Sm	8024#	2#	165956275#	429#
103	63	166	Eu	8059#	2#	165949320#	384#
102	64	166	Gd	8098#	1#	165941460#	210#
101	65	166	Tb	8113.680	0.422	165937858.119	75.153
100	66	166	Dy	8137.280	0.005	165932812.461	0.930
99	67	166	Ho	8135.499	0.006	165932290.139	1.084
98	68	166	Er	8141.959	0.007	165930299.023	1.251
97	69	166	Tm	8118.946	0.070	165933560.092	12.459
96	70	166	Yb	8112.471	0.043	165933874.249	7.623
95	71	166	Lu	8074.175	0.180	165939859.000	32.000
94	72	166	Hf	8056.438	0.168	165942180.000	30.000
93	73	166	Ta	8004.971	0.168	165950512.000	30.000
92	74	166	W	7974.898	0.057	165955031.346	10.174
91	75	166	Re	7909.977	0.436	165965760.940	77.628
90	76	166	Os	7866.336	0.108	165972698.141	19.287
89	77	166	Ir	7789#	1#	165985664#	210#
88	78	166	Pt	7732#	2#	165994923#	322#
104	63	167	Eu	8040#	2#	166952753#	429#
103	64	167	Gd	8076#	2#	166945450#	320#
102	65	167	Tb	8102#	1#	166939960#	210#
101	66	167	Dy	8120.992	0.361	166935661.823	64.657
100	67	167	Ho	8130.379	0.031	166933138.994	5.618
99	68	167	Er	8131.746	0.007	166932054.119	1.252
98	69	167	Tm	8122.585	0.008	166932856.635	1.393
97	70	167	Yb	8106.205	0.024	166934953.337	4.273
96	71	167	Lu	8083.021	0.190	166938270.000	34.000
95	72	167	Hf	8054.184	0.167	166942600.000	30.000
94	73	167	Ta	8018.861	0.167	166948093.000	30.000
93	74	167	W	7976.733	0.109	166954805.873	19.603
92	75	167	Re	7929#	0#	166962607#	43#
91	76	167	Os	7873.974	0.435	166971548.938	78.027
90	77	167	Ir	7812.825	0.110	166981671.981	19.695
89	78	167	Pt	7746#	2#	166992901#	325#
105	63	168	Eu	8014#	3#	167957337#	537#
104	64	168	Gd	8061#	2#	167948080#	430#
103	65	168	Tb	8082#	2#	167943400#	320#
102	66	168	Dy	8112.536	0.833	167937133.716	150.305
101	67	168	Ho	8116.817	0.179	167935521.676	32.230
100	68	168	Er	8129.601	0.007	167932376.192	1.254
99	69	168	Tm	8114.954	0.010	167934177.868	1.834
98	70	168	Yb	8111.898	0.007	167933889.106	1.282
97	71	168	Lu	8080.372	0.234	167938735.139	42.153
96	72	168	Hf	8065.553	0.166	167940568.000	30.000
95	73	168	Ta	8019.428	0.166	167948047.000	30.000
94	74	168	W	7993.933	0.079	167951805.262	14.247
93	75	168	Re	7935.120	0.183	167961572.608	33.087
92	76	168	Os	7895.941	0.059	167967798.812	10.632
91	77	168	Ir	7823.850	0.329	167979960.981	59.277
90	78	168	Pt	7773.605	0.893	167988183.004	160.978
105	64	169	Gd	8036#	3#	168952600#	540#
104	65	169	Tb	8068#	2#	168945970#	320#
103	66	169	Dy	8094.763	1.779	168940313.971	322.782
102	67	169	Ho	8109.068	0.119	168936878.630	21.534
101	68	169	Er	8117.019	0.007	168934596.353	1.265
100	69	169	Tm	8114.473	0.005	168934218.350	0.871
99	70	169	Yb	8104.532	0.007	168935182.016	1.293
98	71	169	Lu	8086.335	0.019	168937643.653	3.470
97	72	169	Hf	8061.778	0.165	168941259.000	30.000
96	73	169	Ta	8030.957	0.165	168946011.000	30.000
95	74	169	W	7994.537	0.091	168951778.677	16.571
94	75	169	Re	7951.395	0.067	168958765.991	12.210
93	76	169	Os	7901.284	0.149	168967017.833	27.017
92	77	169	Ir	7845.596	0.138	168976281.287	25.021
91	78	169	Pt	7784#	1#	168986567#	210#
90	79	169	Au	7716#	2#	168998080#	320#
106	64	170	Gd	8020#	4#	169955577#	640#
105	65	170	Tb	8047#	2#	169949840#	430#
104	66	170	Dy	8083#	1#	169942390#	210#
103	67	170	Ho	8093.796	0.294	169939625.289	53.702
102	68	170	Er	8111.959	0.009	169935470.673	1.659
101	69	170	Tm	8105.517	0.005	169935806.507	0.859
100	70	170	Yb	8106.609	0.000	169934767.245	0.011
99	71	170	Lu	8081.668	0.099	169938479.234	18.081
98	72	170	Hf	8070.875	0.164	169939609.000	30.000
97	73	170	Ta	8030.296	0.164	169946175.000	30.000
96	74	170	W	8008.948	0.078	169949231.200	14.165
95	75	170	Re	7955.065	0.136	169958224.966	24.808
94	76	170	Os	7921.128	0.057	169963578.673	10.491
93	77	170	Ir	7854#	1#	169974922#	95#
92	78	170	Pt	7808.236	0.107	169982502.095	19.588
91	79	170	Au	7730#	1#	169995972#	211#
106	65	171	Tb	8031#	3#	170952730#	540#
105	66	171	Dy	8063#	2#	170946120#	320#
104	67	171	Ho	8083.608	3.509	170941471.490	644.128
103	68	171	Er	8097.746	0.009	170938036.148	1.670
102	69	171	Tm	8101.893	0.006	170936435.126	1.043
101	70	171	Yb	8097.882	0.000	170936331.517	0.014
100	71	171	Lu	8084.661	0.011	170937918.660	1.998
99	72	171	Hf	8066.068	0.169	170940492.000	31.000
98	73	171	Ta	8039.791	0.163	170944476.000	30.000
97	74	171	W	8008.115	0.163	170949451.000	30.000
96	75	171	Re	7969.412	0.163	170955716.000	30.000
95	76	171	Os	7924.204	0.104	170963175.348	19.133
94	77	171	Ir	7873.489	0.225	170971645.522	41.295
93	78	171	Pt	7816.619	0.425	170981245.502	78.097
92	79	171	Au	7754.106	0.121	170991881.542	22.236
91	80	171	Hg	7685#	2#	171003736#	325#
107	65	172	Tb	8007#	3#	171957219#	540#
106	66	172	Dy	8050#	2#	171948460#	320#
105	67	172	Ho	8066#	1#	171944730#	210#
104	68	172	Er	8090.410	0.023	171939362.344	4.302
103	69	172	Tm	8091.041	0.032	171938406.067	5.907
102	70	172	Yb	8097.429	0.000	171936386.658	0.014
101	71	172	Lu	8078.232	0.014	171939091.417	2.507
100	72	172	Hf	8071.743	0.142	171939449.716	26.224
99	73	172	Ta	8037.705	0.162	171944895.000	30.000
98	74	172	W	8020.175	0.162	171947292.000	30.000
97	75	172	Re	7971.672	0.227	171955408.079	41.862
96	76	172	Os	7942.163	0.074	171960017.088	13.721
95	77	172	Ir	7880.263	0.188	171970607.036	34.785
94	78	172	Pt	7839.247	0.060	171977340.788	11.139
93	79	172	Au	7766.158	0.326	171989996.708	60.287
92	80	172	Hg	7713.591	0.873	171998863.391	161.116
107	66	173	Dy	8027#	2#	172952830#	430#
106	67	173	Ho	8054#	2#	172947020#	320#
105	68	173	Er	8074#	1#	172942400#	210#
104	69	173	Tm	8084.463	0.025	172939606.632	4.723
103	70	173	Yb	8087.427	0.000	172938216.215	0.012
102	71	173	Lu	8079.030	0.009	172938935.822	1.682
101	72	173	Hf	8066.016	0.162	172940513.000	30.000
100	73	173	Ta	8044.064	0.162	172943750.000	30.000
99	74	173	W	8018.333	0.162	172947689.000	30.000
98	75	173	Re	7983.906	0.162	172953243.000	30.000
97	76	173	Os	7944.033	0.086	172959808.375	16.059
96	77	173	Ir	7898.067	0.064	172967505.496	11.837
95	78	173	Pt	7845.420	0.324	172976443.315	60.093
94	79	173	Au	7788.237	0.132	172986223.808	24.459
93	80	173	Hg	7725#	1#	172997091#	210#
108	66	174	Dy	8012#	3#	173955587#	540#
107	67	174	Ho	8033#	2#	173950950#	320#
106	68	174	Er	8064#	2#	173944230#	320#
105	69	174	Tm	8070.642	0.257	173942174.064	48.010
104	70	174	Yb	8083.847	0.000	173938867.548	0.011
103	71	174	Lu	8071.453	0.009	173940342.938	1.682
102	72	174	Hf	8068.533	0.013	173940048.480	2.424
101	73	174	Ta	8040.452	0.161	173944454.000	30.000
100	74	174	W	8027.256	0.161	173946079.000	30.000
99	75	174	Re	7985.094	0.161	173953115.000	30.000
98	76	174	Os	7959.461	0.059	173957063.152	11.008
97	77	174	Ir	7902.483	0.140	173966866.676	26.111
96	78	174	Pt	7866.117	0.059	173972819.832	11.112
95	79	174	Au	7798#	1#	173984718#	95#
94	80	174	Hg	7749.784	0.110	173992870.583	20.624
108	67	175	Ho	8019#	2#	174953620#	430#
107	68	175	Er	8045#	2#	174947770#	430#
106	69	175	Tm	8061.766	0.286	174943842.313	53.677
105	70	175	Yb	8070.925	0.000	174941281.910	0.076
104	71	175	Lu	8069.140	0.007	174940777.308	1.295
103	72	175	Hf	8060.761	0.013	174941511.527	2.449
102	73	175	Ta	8044.445	0.160	174943737.000	30.000
101	74	175	W	8024.112	0.160	174946717.000	30.000
100	75	175	Re	7994.816	0.160	174951381.000	30.000
99	76	175	Os	7960.729	0.067	174956945.105	12.640
98	77	175	Ir	7917.910	0.071	174964149.521	13.295
97	78	175	Pt	7869.548	0.104	174972395.457	19.522
96	79	175	Au	7817.595	0.221	174981316.085	41.481
95	80	175	Hg	7759.231	0.417	174991441.086	78.257
109	67	176	Ho	7997#	3#	175957820#	540#
108	68	176	Er	8034#	2#	175949940#	430#
107	69	176	Tm	8045.121	0.568	175946997.711	107.354
106	70	176	Yb	8064.085	0.000	175942574.708	0.015
105	71	176	Lu	8059.020	0.007	175942691.809	1.301
104	72	176	Hf	8061.359	0.008	175941409.905	1.590
103	73	176	Ta	8038.670	0.175	175944857.000	33.000
102	74	176	W	8030.112	0.159	175945634.000	30.000
101	75	176	Re	7993.970	0.159	175951623.000	30.000
100	76	176	Os	7972.679	0.159	175954806.000	30.000
99	77	176	Ir	7921.531	0.095	175963630.119	17.981
98	78	176	Pt	7888.992	0.072	175968938.214	13.660
97	79	176	Au	7825.383	0.189	175980116.927	35.625
96	80	176	Hg	7782.665	0.063	175987348.335	11.937
95	81	176	Tl	7707.955	0.427	176000624.367	80.607
109	68	177	Er	8013#	3#	176953990#	540#
108	69	177	Tm	8035#	2#	176949040#	320#
107	70	177	Yb	8049.973	0.001	176945263.848	0.236
106	71	177	Lu	8053.448	0.007	176943763.668	1.310
105	72	177	Hf	8051.835	0.008	176943230.320	1.511
104	73	177	Ta	8040.827	0.019	176944482.073	3.557
103	74	177	W	8025.035	0.158	176946643.000	30.000
102	75	177	Re	8001.222	0.158	176950328.000	30.000
101	76	177	Os	7972.436	0.083	176954957.882	15.687
100	77	177	Ir	7934.632	0.112	176961301.500	21.213
99	78	177	Pt	7892.489	0.085	176968469.529	16.090
98	79	177	Au	7843.858	0.059	176976870.379	11.268
97	80	177	Hg	7789.932	0.424	176986277.376	80.575
96	81	177	Tl	7732.167	0.122	176996413.797	23.219
110	68	178	Er	7999#	3#	177956779#	640#
109	69	178	Tm	8016#	2#	177952640#	430#
108	70	178	Yb	8042.841	0.056	177946649.710	10.735
107	71	178	Lu	8042.054	0.013	177945960.162	2.416
106	72	178	Hf	8049.442	0.008	177943708.456	1.516
105	73	178	Ta	8035#	0#	177945681#	56#
104	74	178	W	8029.257	0.085	177945885.925	16.316
103	75	178	Re	7998.157	0.157	177950989.000	30.000
102	76	178	Os	7981.912	0.077	177953253.300	14.634
101	77	178	Ir	7936.549	0.111	177961082.000	21.213
100	78	178	Pt	7908.252	0.057	177965649.248	10.878
99	79	178	Au	7849.398	0.057	177976055.945	10.827
98	80	178	Hg	7811.363	0.061	177982484.158	11.562
97	81	178	Tl	7742#	1#	177994857#	96#
96	82	178	Pb	7690.830	0.135	178003837.163	25.724
110	69	179	Tm	8002#	3#	178955340#	540#
109	70	179	Yb	8025#	1#	178950040#	210#
108	71	179	Lu	8035.073	0.029	178947333.082	5.528
107	72	179	Hf	8038.546	0.008	178945825.838	1.517
106	73	179	Ta	8033.585	0.008	178945939.187	1.571
105	74	179	W	8023.281	0.081	178947079.501	15.644
104	75	179	Re	8003.766	0.138	178949989.715	26.450
103	76	179	Os	7979.480	0.092	178953816.669	17.718
102	77	179	Ir	7947.524	0.055	178959117.596	10.489
101	78	179	Pt	7910.675	0.045	178965358.719	8.563
100	79	179	Au	7865.637	0.065	178973173.668	12.555
99	80	179	Hg	7816.236	0.152	178981826.899	29.272
98	81	179	Tl	7763.487	0.217	178991123.405	41.646
97	82	179	Pb	7701.468	0.422	179002201.452	81.149
111	69	180	Tm	7982#	3#	179959291#	540#
110	70	180	Yb	8015#	2#	179952120#	320#
109	71	180	Lu	8022.038	0.393	179949890.876	75.926
108	72	180	Hf	8034.930	0.008	179946559.669	1.522
107	73	180	Ta	8025.881	0.011	179947468.392	2.081
106	74	180	W	8025.442	0.008	179946713.435	1.542
105	75	180	Re	7999.991	0.119	179950791.568	22.965
104	76	180	Os	7987.425	0.091	179952379.930	17.596
103	77	180	Ir	7947.633	0.121	179959229.446	23.302
102	78	180	Pt	7923.611	0.061	179963031.563	11.781
101	79	180	Au	7870.318	0.027	179972489.883	5.137
100	80	180	Hg	7836.110	0.070	179978260.249	13.579
99	81	180	Tl	7771.409	0.333	179989923.019	64.423
98	82	180	Pb	7725.700	0.069	179997915.842	13.307
112	69	181	Tm	7967#	3#	180962243#	640#
111	70	181	Yb	7996#	2#	180955890#	320#
110	71	181	Lu	8011.929	0.695	180951908.000	135.000
109	72	181	Hf	8022.002	0.008	180949110.965	1.524
108	73	181	Ta	8023.400	0.008	180947999.331	1.506
107	74	181	W	8017.948	0.008	180948218.863	1.551
106	75	181	Re	8004.143	0.069	180950061.523	13.471
105	76	181	Os	7983.426	0.140	180953247.188	27.201
104	77	181	Ir	7956.523	0.029	180957634.694	5.631
103	78	181	Pt	7924.126	0.076	180963089.927	14.695
102	79	181	Au	7883.835	0.110	180970079.103	21.445
101	80	181	Hg	7839.679	0.085	180977819.357	16.513
100	81	181	Tl	7791.918	0.050	180986259.992	9.778
99	82	181	Pb	7734.107	0.417	180996653.386	80.957
112	70	182	Yb	7984#	2#	181958325#	430#
111	71	182	Lu	7996#	1#	181955040#	210#
110	72	182	Hf	8014.837	0.034	181950563.816	6.618
109	73	182	Ta	8012.628	0.008	181950155.413	1.508
108	74	182	W	8018.308	0.004	181948205.721	0.791
107	75	182	Re	7998.625	0.560	181951211.645	109.483
106	76	182	Os	7989.728	0.119	181952110.153	23.344
105	77	182	Ir	7954.894	0.115	181958076.296	22.509
104	78	182	Pt	7934.754	0.072	181961171.571	14.057
103	79	182	Au	7887.226	0.111	181969617.874	21.749
102	80	182	Hg	7856.972	0.054	181974689.132	10.510
101	81	182	Tl	7796.360	0.065	181985691.880	12.709
100	82	182	Pb	7756.332	0.066	181992672.940	12.987
113	70	183	Yb	7964#	2#	182962319#	430#
112	71	183	Lu	7984.812	0.438	182957363.000	86.000
111	72	183	Hf	8000.027	0.164	182953534.004	32.242
110	73	183	Ta	8006.735	0.008	182951376.180	1.523
109	74	183	W	8008.322	0.004	182950224.500	0.790
108	75	183	Re	8001.009	0.044	182950821.390	8.624
107	76	183	Os	7985.010	0.272	182953124.719	53.420
106	77	183	Ir	7961.823	0.133	182956839.968	26.191
105	78	183	Pt	7933.336	0.085	182961596.653	16.675
104	79	183	Au	7898.564	0.051	182967588.108	10.116
103	80	183	Hg	7859.388	0.039	182974444.629	7.604
102	81	183	Tl	7815.673	0.051	182982192.846	10.017
101	82	183	Pb	7762.152	0.154	182991867.668	30.221
114	70	184	Yb	7951#	3#	183965067#	540#
113	71	184	Lu	7967#	2#	183960910#	320#
112	72	184	Hf	7990.722	0.216	183955448.587	42.625
111	73	184	Ta	7993.752	0.141	183954010.038	27.923
110	74	184	W	8005.077	0.004	183950933.260	0.785
109	75	184	Re	7992.750	0.023	183952528.267	4.589
108	76	184	Os	7988.677	0.005	183952492.949	0.887
107	77	184	Ir	7959.198	0.152	183957476.000	30.000
106	78	184	Pt	7942.574	0.085	183959920.039	16.730
105	79	184	Au	7900.194	0.121	183967451.524	23.912
104	80	184	Hg	7874.367	0.055	183971713.221	10.802
103	81	184	Tl	7818.671	0.054	183981875.093	10.757
102	82	184	Pb	7782.725	0.070	183988135.702	13.748
101	83	184	Bi	7712.633	0.425	184001141.250	83.854
115	70	185	Yb	7929#	3#	184969404#	540#
114	71	185	Lu	7954#	2#	184963620#	320#
113	72	185	Hf	7973.970	0.347	184958862.000	69.000
112	73	185	Ta	7986.360	0.077	184955561.396	15.202
111	74	185	W	7992.907	0.004	184953421.286	0.786
110	75	185	Re	7991.009	0.004	184952958.337	0.877
109	76	185	Os	7981.304	0.004	184954045.995	0.891
108	77	185	Ir	7963.722	0.151	184956698.000	30.000
107	78	185	Pt	7939.777	0.140	184960613.659	27.731
106	79	185	Au	7909.440	0.014	184965798.874	2.800
105	80	185	Hg	7874.538	0.074	184971890.676	14.641
104	81	185	Tl	7835.575	0.112	184978789.191	22.194
103	82	185	Pb	7786.932	0.087	184987609.989	17.364
102	83	185	Bi	7732#	0#	184997600#	87#
115	71	186	Lu	7935#	2#	185967568#	430#
114	72	186	Hf	7964.302	0.275	185960897.000	55.000
113	73	186	Ta	7971.835	0.323	185958553.111	64.425
112	74	186	W	7988.601	0.007	185954365.215	1.300
111	75	186	Re	7981.269	0.004	185954989.419	0.886
110	76	186	Os	7982.831	0.004	185953837.660	0.816
109	77	186	Ir	7958.047	0.089	185957946.754	17.740
108	78	186	Pt	7946.809	0.117	185959350.846	23.344
107	79	186	Au	7909.540	0.113	185965952.703	22.509
106	80	186	Hg	7888.260	0.063	185969362.017	12.507
105	81	186	Tl	7837.535	0.120	185978650.841	24.000
104	82	186	Pb	7805.347	0.061	185984238.196	12.199
103	83	186	Bi	7739.121	0.091	185996622.402	18.096
102	84	186	Po	7695.951	0.098	186004402.577	19.630
116	71	187	Lu	7922#	2#	186970392#	430#
115	72	187	Hf	7946#	2#	186964770#	320#
114	73	187	Ta	7963.212	0.299	186960391.000	60.000
113	74	187	W	7975.116	0.006	186957161.323	1.300
112	75	187	Re	7977.951	0.004	186955752.288	0.790
111	76	187	Os	7973.780	0.004	186955749.640	0.790
110	77	187	Ir	7960.668	0.149	186957542.000	30.000
109	78	187	Pt	7941.168	0.129	186960616.976	25.816
108	79	187	Au	7917.427	0.119	186964543.155	23.948
107	80	187	Hg	7886.987	0.074	186969814.158	14.928
106	81	187	Tl	7852.464	0.043	186975904.743	8.640
105	82	187	Pb	7808.400	0.027	186983910.836	5.468
104	83	187	Bi	7758.208	0.054	186993147.276	10.740
103	84	187	Po	7704.763	0.171	187003036.624	34.243
117	71	188	Lu	7902#	3#	187974460#	540#
116	72	188	Hf	7936#	2#	187966850#	320#
115	73	188	Ta	7946.321	0.292	187963916.000	59.000
114	74	188	W	7969.052	0.016	187958488.395	3.316
113	75	188	Re	7966.747	0.004	187958113.728	0.791
112	76	188	Os	7973.864	0.004	187955837.361	0.787
111	77	188	Ir	7954.850	0.050	187958835.046	10.116
110	78	188	Pt	7947.902	0.028	187959397.560	5.694
109	79	188	Au	7914.753	0.014	187965247.969	2.900
108	80	188	Hg	7899.052	0.065	187967576.910	13.178
107	81	188	Tl	7853.053	0.159	187976020.886	32.103
106	82	188	Pb	7824.843	0.057	187980874.592	11.403
105	83	188	Bi	7764.189	0.060	187992276.184	12.009
104	84	188	Po	7724.653	0.106	187999415.655	21.441
117	72	189	Hf	7917#	2#	188970840#	320#
116	73	189	Ta	7938#	1#	188965830#	210#
115	74	189	W	7953.454	0.212	188961763.000	43.000
114	75	189	Re	7961.809	0.043	188959227.817	8.793
113	76	189	Os	7963.002	0.004	188958146.005	0.715
112	77	189	Ir	7956.020	0.067	188958722.669	13.500
111	78	189	Pt	7941.403	0.053	188960848.542	10.832
110	79	189	Au	7921.987	0.106	188963948.286	21.558
109	80	189	Hg	7896.919	0.167	188968194.748	33.873
108	81	189	Tl	7866.270	0.044	188973573.527	8.983
107	82	189	Pb	7826.299	0.074	188980843.639	15.096
106	83	189	Bi	7780.999	0.110	188989195.141	22.384
105	84	189	Po	7731.131	0.117	188998473.415	23.681
118	72	190	Hf	7907#	2#	189973129#	430#
117	73	190	Ta	7921#	1#	189969390#	210#
116	74	190	W	7947.573	0.209	189963089.066	42.647
115	75	190	Re	7950.053	0.373	189961743.360	76.063
114	76	190	Os	7962.104	0.003	189958445.496	0.697
